timestamp,symbol,qty,current_price,market_value,unrealized_pl,imv,combined_market_value,pnl_pct
2026-08-31T14:29:11.856077-04:00,SPY260904C00766000,-100,4.21,-42100.0,1100.0,,,
2026-08-31T14:29:11.856077-04:00,SPY260904C00776000,100,0.57,5700.0,-900.0,,,
2026-08-31T14:29:11.856077-04:00,SPY260904P00756000,100,0.87,8700.0,-1800.0,,,
2026-08-31T14:29:11.856077-04:00,SPY260904P00766000,-100,3.28,-32800.0,2600.0,,,
2026-08-31T14:29:11.856077-04:00,TOTAL,,,-60500.0,,61500.0,1000.0,1.63
2026-08-31T14:30:11.798362-04:00,SPY260904C00766000,-100,4.12,-41200.0,2000.0,,,
2026-08-31T14:30:11.798362-04:00,SPY260904C00776000,100,0.55,5500.0,-1100.0,,,
2026-08-31T14:30:11.798362-04:00,SPY260904P00756000,100,0.89,8900.0,-1600.0,,,
2026-08-31T14:30:11.798362-04:00,SPY260904P00766000,-100,3.35,-33500.0,1900.0,,,
2026-08-31T14:30:11.798362-04:00,TOTAL,,,-60300.0,,61500.0,1200.0,1.95
2026-08-31T14:31:11.809190-04:00,SPY260904C00766000,-100,4.18,-41800.0,1400.0,,,
2026-08-31T14:31:11.809190-04:00,SPY260904C00776000,100,0.57,5700.0,-900.0,,,
2026-08-31T14:31:11.809190-04:00,SPY260904P00756000,100,0.88,8800.0,-1700.0,,,
2026-08-31T14:31:11.809190-04:00,SPY260904P00766000,-100,3.31,-33100.0,2300.0,,,
2026-08-31T14:31:11.809190-04:00,TOTAL,,,-60400.0,,61500.0,1100.0,1.79
2026-08-31T14:32:11.829522-04:00,SPY260904C00766000,-100,4.12,-41200.0,2000.0,,,
2026-08-31T14:32:11.829522-04:00,SPY260904C00776000,100,0.55,5500.0,-1100.0,,,
2026-08-31T14:32:11.829522-04:00,SPY260904P00756000,100,0.89,8900.0,-1600.0,,,
2026-08-31T14:32:11.829522-04:00,SPY260904P00766000,-100,3.36,-33600.0,1800.0,,,
2026-08-31T14:32:11.829522-04:00,TOTAL,,,-60400.0,,61500.0,1100.0,1.79
2026-08-31T14:33:11.854143-04:00,SPY260904C00766000,-100,4.13,-41300.0,1900.0,,,
2026-08-31T14:33:11.854143-04:00,SPY260904C00776000,100,0.55,5500.0,-1100.0,,,
2026-08-31T14:33:11.854143-04:00,SPY260904P00756000,100,0.89,8900.0,-1600.0,,,
2026-08-31T14:33:11.854143-04:00,SPY260904P00766000,-100,3.35,-33500.0,1900.0,,,
2026-08-31T14:33:11.854143-04:00,TOTAL,,,-60400.0,,61500.0,1100.0,1.79
2026-08-31T14:34:11.893704-04:00,SPY260904C00766000,-100,4.09,-40900.0,2300.0,,,
2026-08-31T14:34:11.893704-04:00,SPY260904C00776000,100,0.54,5400.0,-1200.0,,,
2026-08-31T14:34:11.893704-04:00,SPY260904P00756000,100,0.9,9000.0,-1500.0,,,
2026-08-31T14:34:11.893704-04:00,SPY260904P00766000,-100,3.39,-33900.0,1500.0,,,
2026-08-31T14:34:11.893704-04:00,TOTAL,,,-60400.0,,61500.0,1100.0,1.79
2026-08-31T14:35:11.891891-04:00,SPY260904C00766000,-100,4.02,-40200.0,3000.0,,,
2026-08-31T14:35:11.891891-04:00,SPY260904C00776000,100,0.52,5200.0,-1400.0,,,
2026-08-31T14:35:11.891891-04:00,SPY260904P00756000,100,0.92,9200.0,-1300.0,,,
2026-08-31T14:35:11.891891-04:00,SPY260904P00766000,-100,3.44,-34400.0,1000.0,,,
2026-08-31T14:35:11.891891-04:00,TOTAL,,,-60200.0,,61500.0,1300.0,2.11
2026-08-31T14:36:11.975498-04:00,SPY260904C00766000,-100,3.85,-38500.0,4700.0,,,
2026-08-31T14:36:11.975498-04:00,SPY260904C00776000,100,0.49,4900.0,-1700.0,,,
2026-08-31T14:36:11.975498-04:00,SPY260904P00756000,100,0.97,9700.0,-800.0,,,
2026-08-31T14:36:11.975498-04:00,SPY260904P00766000,-100,3.6,-36000.0,-600.0,,,
2026-08-31T14:36:11.975498-04:00,TOTAL,,,-59900.0,,61500.0,1600.0,2.6
2026-08-31T14:37:11.909288-04:00,SPY260904C00766000,-100,3.82,-38200.0,5000.0,,,
2026-08-31T14:37:11.909288-04:00,SPY260904C00776000,100,0.48,4800.0,-1800.0,,,
2026-08-31T14:37:11.909288-04:00,SPY260904P00756000,100,0.97,9700.0,-800.0,,,
2026-08-31T14:37:11.909288-04:00,SPY260904P00766000,-100,3.63,-36300.0,-900.0,,,
2026-08-31T14:37:11.909288-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
