monday,exit_date,expiry,entry_time,exit_time,underlying_exit_reason,spy_open,spy_exit,atm,lp_K,sp_K,sc_K,lc_K,lp_entry,sp_entry,sc_entry,lc_entry,lp_exit,sp_exit,sc_exit,lc_exit,net_credit_open,net_credit_close,max_profit,max_loss,exit_reason,pnl,cum_pnl
2025-06-23,2025-06-24,2025-06-27,09:44,11:37,underlying_breach,595.59,605.98,596,586,596,596,606,2.0,3.62,5.4,0.93,0.26,0.69,12.16,3.65,6.09,8.94,60900.0,39100.0,scheduled,-28500.0,129900.0
2025-07-07,2025-07-10,2025-07-11,09:57,15:00,scheduled,623.8,626.3,624,614,624,624,634,1.48,4.79,3.24,0.36,0.05,0.74,2.64,0.01,6.19,3.32,61900.0,38100.0,scheduled,28700.0,158600.0
2025-07-14,2025-07-17,2025-07-18,10:00,15:00,scheduled,622.67,628.01,623,613,623,623,633,0.83,3.23,4.01,0.48,0.08,0.38,5.55,0.09,5.93,5.76,59300.0,40700.0,scheduled,1700.0,160300.0
2025-07-21,2025-07-24,2025-07-25,09:44,15:00,scheduled,629.37,635.22,629,619,629,629,639,0.47,2.12,3.27,0.45,0.07,0.29,5.91,0.13,4.47,6.0,44700.0,55300.0,scheduled,-15300.0,145000.0
2025-07-28,2025-07-31,2025-08-01,09:52,15:00,scheduled,637.39,634.71,637,627,637,637,647,1.05,3.62,4.52,0.75,0.85,5.86,0.77,0.02,6.34,5.76,63400.0,36600.0,scheduled,5800.0,150800.0
2025-08-11,2025-08-14,2025-08-15,09:49,15:00,scheduled,637.54,644.63,638,628,638,638,648,1.27,4.19,3.29,0.45,0.1,0.26,7.14,0.41,5.76,6.89,57600.0,42400.0,scheduled,-11300.0,139500.0
2025-08-18,2025-08-20,2025-08-22,09:56,10:53,underlying_breach,642.99,632.96,643,633,643,643,653,1.0,3.08,3.87,0.36,2.48,8.19,0.55,0.05,5.59,6.21,55900.0,44100.0,scheduled,-6200.0,133300.0
2025-08-25,2025-08-28,2025-08-29,09:56,15:00,scheduled,643.78,649.04,644,634,644,644,654,0.97,3.18,3.69,0.41,0.07,0.32,5.3,0.07,5.49,5.48,54900.0,45100.0,scheduled,100.0,133400.0
2025-09-08,2025-09-11,2025-09-12,09:45,15:00,scheduled,648.64,657.48,649,639,649,649,659,1.04,3.0,3.73,0.26,0.08,0.16,8.8,0.65,5.43,8.23,54300.0,45700.0,scheduled,-28000.0,105400.0
2025-09-15,2025-09-18,2025-09-19,09:56,15:00,scheduled,660.42,663.32,660,650,660,660,670,1.27,3.78,3.9,0.35,0.27,1.44,2.49,0.05,6.06,3.61,60600.0,39400.0,scheduled,24500.0,129900.0
2025-09-22,2025-09-25,2025-09-26,09:59,15:00,scheduled,663.38,657.97,663,653,663,663,673,1.02,2.27,4.63,0.46,0.44,5.0,0.3,0.01,5.42,4.85,54200.0,45800.0,scheduled,5700.0,135600.0
2025-09-29,2025-10-02,2025-10-03,09:50,15:00,scheduled,664.64,669.4,665,655,665,665,675,1.1,3.18,3.59,0.34,0.1,0.46,5.03,0.05,5.33,5.34,53300.0,46700.0,scheduled,-100.0,135500.0
2025-10-06,2025-10-09,2025-10-10,09:59,15:00,scheduled,670.11,669.91,670,660,670,670,680,0.92,2.84,4.08,0.33,0.18,1.0,2.42,0.02,5.67,3.22,56700.0,43300.0,scheduled,24500.0,160000.0
2025-10-20,2025-10-23,2025-10-24,09:51,15:00,scheduled,669.18,672.62,669,659,669,669,679,1.34,3.33,5.93,1.03,0.17,1.18,4.09,0.08,6.89,5.02,68900.0,31100.0,scheduled,18700.0,178700.0
2025-11-03,2025-11-06,2025-11-07,09:46,10:02,underlying_breach,683.27,673.12,683,673,683,683,693,1.05,4.11,4.88,0.84,2.98,9.96,0.24,0.02,7.1,7.2,71000.0,29000.0,scheduled,-1000.0,177700.0
2025-11-17,2025-11-17,2025-11-21,09:55,14:39,underlying_breach,673.5,664.03,674,664,674,674,684,2.89,6.01,5.99,1.7,6.56,12.0,2.47,0.45,7.41,7.46,74100.0,25900.0,scheduled,-500.0,177200.0
2025-11-24,2025-11-25,2025-11-28,09:43,12:34,underlying_breach,664.26,674.11,664,654,664,664,674,2.48,5.16,5.82,1.33,0.16,0.76,11.97,3.15,7.17,9.42,71700.0,28300.0,scheduled,-22500.0,154700.0
2025-12-01,2025-12-04,2025-12-05,09:59,15:00,scheduled,681.25,683.3,681,671,681,681,691,2.06,3.9,4.59,0.7,0.04,0.94,3.49,0.05,5.73,4.34,57300.0,42700.0,scheduled,13900.0,168600.0
2025-12-08,2025-12-11,2025-12-12,10:00,15:00,scheduled,685.42,689.04,685,675,685,685,695,1.49,4.22,5.09,1.03,0.07,0.6,4.82,0.13,6.79,5.22,67900.0,32100.0,scheduled,15700.0,184300.0
2025-12-15,2025-12-17,2025-12-19,09:56,13:39,underlying_breach,682.77,672.88,683,673,683,683,693,1.5,5.4,4.1,0.67,4.6,12.76,0.36,0.04,7.33,8.48,73300.0,26700.0,scheduled,-11500.0,172800.0
2025-12-22,2025-12-26,2025-12-26,09:59,15:00,scheduled,684.01,690.15,684,674,684,684,694,0.57,2.3,2.72,0.1,0.01,0.01,6.08,0.01,4.35,6.07,43500.0,56500.0,scheduled,-17200.0,155600.0
2025-12-29,2026-01-02,2026-01-02,09:44,15:00,scheduled,688.35,683.21,688,678,688,688,698,0.59,2.5,3.32,0.18,0.01,4.9,0.01,0.01,5.05,4.89,50500.0,49500.0,scheduled,1600.0,157200.0
2026-01-05,2026-01-08,2026-01-09,09:58,15:00,scheduled,686.94,688.77,687,677,687,687,697,0.99,3.65,3.8,0.39,0.14,1.59,3.65,0.1,6.07,5.0,60700.0,39300.0,scheduled,10700.0,167900.0
2026-01-12,2026-01-15,2026-01-16,10:00,15:00,scheduled,693.64,692.58,694,684,694,694,704,1.14,3.71,3.77,0.37,0.23,2.33,1.16,0.01,5.97,3.25,59700.0,40300.0,scheduled,27200.0,195100.0
2026-01-26,2026-01-29,2026-01-30,09:56,15:00,scheduled,692.35,691.25,692,682,692,692,702,1.6,4.11,4.89,0.73,0.4,2.59,2.12,0.05,6.67,4.26,66700.0,33300.0,scheduled,24100.0,219200.0
2026-02-02,2026-02-04,2026-02-06,09:55,12:36,underlying_breach,693.36,682.88,693,683,693,693,703,1.79,4.34,5.24,0.86,5.22,10.86,1.2,0.08,6.93,6.76,69300.0,30700.0,scheduled,1700.0,220900.0
2026-02-09,2026-02-12,2026-02-13,09:59,15:00,scheduled,690.47,685.35,690,680,690,690,700,2.1,4.65,5.6,1.0,1.22,5.48,1.12,0.04,7.15,5.34,71500.0,28500.0,scheduled,18100.0,239000.0
2026-02-23,2026-02-26,2026-02-27,09:59,15:00,scheduled,686.44,689.04,686,676,686,686,696,2.82,5.5,6.35,1.55,0.22,1.25,4.49,0.14,7.48,5.38,74800.0,25200.0,scheduled,21000.0,260000.0
2026-03-02,2026-03-03,2026-03-06,09:56,09:45,underlying_breach,682.56,674.13,683,673,683,683,693,3.69,6.89,6.5,1.16,6.89,11.42,2.72,0.42,8.54,6.83,85400.0,14600.0,scheduled,17100.0,277100.0
2026-03-30,2026-03-31,2026-04-10,09:45,12:41,underlying_breach,637.16,648.89,637,627,637,637,647,7.36,10.84,12.96,7.88,3.0,6.03,19.0,11.72,8.56,10.31,85600.0,14400.0,scheduled,-17500.0,259600.0
2026-04-06,2026-04-08,2026-04-10,09:55,09:30,underlying_breach,657.61,676.26,658,648,658,658,668,3.53,6.6,6.72,2.06,0.26,0.61,19.06,10.06,7.73,9.35,77300.0,22700.0,scheduled,-16200.0,243400.0
2026-04-13,2026-04-14,2026-04-17,09:43,09:30,underlying_breach,677.17,688.02,677,667,677,677,687,2.22,5.0,5.5,1.1,0.37,1.08,12.28,4.65,7.18,8.34,71800.0,28200.0,scheduled,-11600.0,231800.0
2026-04-20,2026-04-23,2026-04-24,09:47,15:00,scheduled,708.78,707.27,709,699,709,709,719,2.12,5.06,5.23,1.18,0.68,3.55,1.99,0.04,6.99,4.82,69900.0,30100.0,scheduled,21700.0,253500.0
2026-04-27,2026-04-30,2026-05-01,09:41,15:00,scheduled,714.18,718.6,714,704,714,714,724,2.58,5.39,5.93,1.54,0.1,0.81,5.63,0.33,7.2,6.01,72000.0,28000.0,scheduled,11900.0,265400.0
2026-05-04,2026-05-06,2026-05-08,09:51,10:35,underlying_breach,720.54,731.07,721,711,721,721,731,1.67,4.93,4.45,0.78,0.19,0.7,14.08,3.07,6.93,11.52,69300.0,30700.0,scheduled,-45900.0,219500.0
2026-05-11,2026-05-14,2026-05-15,09:40,11:14,underlying_breach,737.61,748.04,738,728,738,738,748,1.73,4.73,4.75,1.09,0.14,0.42,10.76,2.64,6.66,8.4,66600.0,33400.0,scheduled,-17400.0,202100.0
2026-05-18,2026-05-21,2026-05-22,09:39,15:00,scheduled,738.79,741.16,739,729,739,739,749,1.99,5.38,5.77,1.67,0.28,1.76,4.25,0.35,7.49,5.38,74900.0,25100.0,scheduled,21100.0,223200.0
2026-06-01,2026-06-04,2026-06-05,09:47,15:00,scheduled,756.43,757.8,756,746,756,756,766,1.55,3.82,4.87,0.72,0.14,1.13,3.12,0.02,6.42,4.09,64200.0,35800.0,scheduled,23300.0,246500.0
2026-06-22,2026-06-23,2026-06-26,09:54,09:30,underlying_breach,749.35,732.7,749,739,749,749,759,1.65,4.17,5.08,0.72,9.31,16.45,0.7,0.08,6.88,7.76,68800.0,31200.0,scheduled,-8800.0,237700.0
2026-07-06,2026-07-09,2026-07-10,09:59,15:00,scheduled,748.59,750.89,749,739,749,749,759,1.46,3.98,3.95,0.5,0.15,1.15,3.25,0.04,5.97,4.21,59700.0,40300.0,scheduled,17600.0,255300.0
2026-07-13,2026-07-16,2026-07-17,09:44,15:00,scheduled,752.73,750.43,753,743,753,753,763,1.36,3.98,4.19,0.64,0.45,3.62,1.35,0.04,6.17,4.48,61700.0,38300.0,scheduled,16900.0,272200.0
2026-07-27,2026-07-29,2026-07-31,09:53,10:42,underlying_breach,743.69,733.96,744,734,744,744,754,2.65,5.49,5.67,1.25,5.59,11.26,0.46,0.25,7.26,5.88,72600.0,27400.0,scheduled,13800.0,286000.0
2026-08-10,2026-08-13,2026-08-14,09:58,15:00,scheduled,773.34,777.84,773,763,773,773,783,1.24,3.74,4.44,0.95,0.05,0.42,5.32,0.25,5.99,5.44,59900.0,40100.0,scheduled,5500.0,291500.0
2026-08-17,2026-08-20,2026-08-21,09:55,09:30,underlying_breach,775.83,765.93,776,766,776,776,786,0.73,3.22,3.37,0.47,2.4,10.0,0.09,0.01,5.39,7.68,53900.0,46100.0,scheduled,-22900.0,268600.0
2026-08-24,2026-08-27,2026-08-28,09:59,15:00,scheduled,763.61,769.85,764,754,764,764,774,1.54,4.47,4.53,0.88,0.07,0.61,6.48,0.72,6.58,6.3,65800.0,34200.0,scheduled,2800.0,271400.0
